description_1,description_2,similarity_score
a checkered flannel shirt in red and black,checked flannel shirt in red and black,0.90833586
beige chinos with a brown leather belt,beige chinos with a belt,0.9540703
a snow-covered forest path,a snowy forest path,0.9455609
a volcano erupting at night,A volcanic eruption at night,0.9049928
a simple white t-shirt,a plain white t-shirt,0.9502884
a simple white t-shirt,a classic white t-shirt,0.9256426
a dark blue wool sweater with a V-neck,a dark blue sweater with a V-neck,0.96104276
a white satin dress with lace trim,a white dress with lace trim,0.91261816
an aurora borealis over snowy mountains,an aurora borealis over a snowy plain,0.9154554
purple and gold abstract shapes,purple and green abstract shapes,0.9012084
a winding road in the mountains,a winding road through mountains,0.967396
a tessellation of blue and yellow shapes,a tessellation of blue and yellow squares,0.9349114
a tessellation of blue and yellow shapes,a tessellation of blue and white,0.90120554
a silhouette of trees against a sunset sky,a silhouette of trees against a sunset,0.98599887
a dark night sky with many stars,a dark night sky with bright stars,0.9321165
a misty morning in a green valley,a misty morning in a valley,0.9572849
a quiet lake reflecting the sky,a calm lake reflecting the sky,0.92252934
a snowy mountain peak at sunrise,a snowy mountain peak at dawn,0.93665147
crimson squares in a grid,crimson squares arranged in a grid,0.96224964
a forest floor covered in leaves,a forest floor with fallen leaves,0.9252688
a forest floor covered in leaves,a forest floor covered in fallen leaves,0.94366586
black and white striped t-shirt,yellow and black striped t-shirt,0.9099796
khaki shorts with a drawstring waist,khaki shorts with a drawstrings waist,0.9963112
yellow and blue concentric rings,concentric green and blue rings,0.90462106
a solitary tree on a grassy hill at sunrise,a lone tree on a hill at sunrise,0.9377043
a close-up of a textured grey stone,a grey stone texture,0.93723357
a close-up of a textured grey stone,a simple grey stone texture,0.91717017
a dark alley at night,a dark alleyway at night,0.98014796
a winding road through a desert,a winding road through a desert landscape,0.9594685
a winding road through a desert,a winding desert road,0.955606
abstract art with splatters of paint,abstract splatters of paint,0.9268065
abstract art with splatters of paint,An abstract splatter of paint.,0.92496324
a dark forest path,a dark green forest path,0.90369725
a pile of colorful autumn leaves,a pile of autumn leaves,0.9306356
a rusty metal surface,a close-up of a rusty metal surface,0.94131047
a blue velvet dress,dark blue velvet dress,0.91889906
a blue velvet dress,a velvety blue dress,0.9828582
black denim jeans,black skinny jeans,0.91994315
a pink knitted sweater,pink knitted sweater,0.9786657
grey sweatpants,gray sweatpants,0.9808742
a navy blue suit jacket,navy blue suit jacket,0.9767494
a beige trench coat,beige trench coat,0.9761204
a stormy sea,a dark stormy sea,0.93427753
a misty moor,a misty moorland,0.9085977
rust-colored corduroy jacket with a shearling collar,brown corduroy jacket with a shearling collar,0.9056244
rust-colored corduroy jacket with a shearling collar,brown corduroy jacket with shearling collar,0.90422255
bright yellow stars on a dark blue night sky,yellow stars on a dark blue background,0.9027864
dark wash denim jeans,light wash denim jeans,0.9204693
dark wash denim jeans,dark wash skinny jeans,0.9348321
a simple grey hoodie,a dark gray hoodie,0.9124006
a gradient from black to red,a red gradient,0.90836656
red abstract art,dark red abstract art,0.9502166
a yellow and orange gradient sunset,a purple and orange gradient sunset,0.91131276
a yellow and orange gradient sunset,an orange sunset gradient,0.9132528
teal circles overlapping on an orange background,overlapping teal and orange circles,0.9445683
teal circles overlapping on an orange background,teal circles overlapping on a white background,0.93701017
teal circles overlapping on an orange background,teal and orange circles overlapping,0.94992894
navy blue suit jacket with pinstripes,navy blue suit with pinstripes,0.93143535
navy blue suit jacket with pinstripes,navy blue pinstripe suit jacket,0.9486592
forest green leaves with dew drops,forest green foliage with dew drops,0.96332306
electric purple lightning strike,electric purple lightning,0.93460727
a bright red sports car,a red sports car,0.9445745
rust colored metal texture,rust colored metallic texture,0.9754678
rust colored metal texture,rusted metal texture,0.9632262
a tangled mess of pink and orange lines,a tangled mess of orange and black lines,0.91740346
a snowy mountain range under a full moon,a full moon over a snowy mountain range,0.96217394
beige linen shirt with wooden buttons,white linen shirt with wooden buttons,0.9060085
light blue denim skirt with white stitching,light blue denim skirt,0.9074338
light blue denim skirt with white stitching,a light blue denim skirt,0.9021617
overlapping translucent rectangles,overlapping transparent rectangles,0.92485785
a chaotic arrangement of colored dots,a chaotic mix of colorful dots,0.93228203
a chaotic arrangement of colored dots,a chaotic arrangement of colorful dots,0.9812661
light grey sweatpants with elastic cuffs,Grey sweatpants with elastic cuffs,0.9828531
light grey sweatpants with elastic cuffs,dark grey sweatpants with an elastic cuff,0.9180994
concentric purple and gold rings,concentric purple rings,0.91295624
a bright green backpack,dark green backpack,0.9037846
diagonal lines in shades of blue,diagonal lines in varying shades of blue,0.9686297
wavy lines in multiple pastel colors,pastel colored wavy lines,0.9213244
a sunlit forest canopy,a forest canopy,0.9216659
a structured navy blue blazer,navy blue blazer,0.91945785
a volcanic landscape with red rocks,a volcanic landscape with red and black rock,0.94338655
a thin silver chain necklace,a silver chain necklace,0.97140086
a stylized tree silhouette,a simple tree silhouette,0.9029203
aquamarine waves crashing on a sandy beach,aquamarine waves crashing on a sandy shore,0.974402
a cat napping on a windowsill,a grey tabby cat napping on a windowsill,0.92541885
mustard yellow raincoat with a hood,a mustard yellow raincoat,0.90559274
a field of poppies under a blue sky,a field of poppies under a sunny sky,0.9048443
a quiet harbor at sunrise,a quiet harbor at dawn,0.92178345
a single red balloon against a blue sky,a single red balloon in a blue sky,0.9592433
a single red balloon against a blue sky,a single red balloon against a clear sky,0.9323094
blue circles on a yellow background,yellow circles on a blue background,0.98789275
a rust-colored bridge over water,a rust-colored bridge over a still river,0.91511035
dark forest at midnight,a dark forest at midnight,0.950243
sky blue fluffy clouds,sky blue and white fluffy clouds,0.9490304
sky blue fluffy clouds,a bright blue sky with fluffy clouds,0.91477245
purple polka dots on a white background,purple and orange polka dots on a white background,0.9669732
a yellow triangle,yellow triangle,0.97572756
a purple and orange gradient,a pink and orange gradient,0.90843964
a purple and orange gradient,an orange and purple gradient,0.9942639
a stack of colorful rings,a set of stacking rings in various colors,0.93014044
a simple grey scale gradient,a grey gradient,0.92733777
teal circles on a white background,teal circles on a beige background,0.90726507
snow-capped mountains under a clear sky,a snow-capped mountain under a clear sky,0.90795743
a velvet green cushion,dark green velvet cushion,0.94209373
a starry night over a desert,a starry night over desert dunes,0.90978867
a starry night over a desert,a starry desert night,0.9637358
a starry night over a desert,a starry night over a desert landscape,0.96975976
a starry night over a desert,a starry night sky over a vast desert,0.91617185
a patterned yellow scarf,a yellow and black striped scarf,0.92035466
a cloudy grey sky,a dark grey cloudy sky,0.96046627
Silver spheres arranged in a helix,silver spheres arranged in a helix,1.0000001
A field of sunflowers at dawn,a field of sunflowers at dawn,1.0000002
A field of sunflowers at dawn,a field of sunflowers at sunset,0.9067608
Navy blue striped t-shirt,navy blue and white striped t-shirt,0.97596943
Maroon wool sweater with cable knit,a wool sweater with a cable knit,0.9118787
Light pink floral print scarf,pink floral print scarf,0.980837
a desert landscape under a full moon,a moonlit desert landscape,0.90702266
a desert landscape under a full moon,a desert under a full moon,0.9371588
khaki cargo pants with multiple pockets,khaki cargo pants with side pockets,0.9063151
beige linen shirt,a textured beige linen shirt,0.930509
a peaceful meadow with wildflowers,a sunlit meadow with wildflowers,0.90996087
checkerboard pattern in red and black,checkerboard pattern in black and red,0.99708056
a swirl of blue and silver,an abstract swirl of blue and silver,0.920797
checkerboard pattern in green and white,checkerboard pattern in blue and green,0.940374
checkerboard pattern in green and white,a checkerboard pattern (green and black),0.9041081
checkerboard pattern in green and white,a checkerboard pattern in green and yellow,0.92401284
light blue linen shirt,sky blue linen shirt,0.9062227
plain white crew neck t-shirt,light gray cotton t-shirt with a crew neck,0.9286235
navy blue athletic shorts,blue athletic shorts,0.9177946
white ceramic mug with a blue rim,a white ceramic mug with a blue stripe,0.90519035
white ceramic mug with a blue rim,a white ceramic mug with a blue rim,0.98118794
bronze spheres in a pyramid shape,bronze spheres arranged in a pyramid,0.9276805
bronze spheres in a pyramid shape,bronze spheres in a pyramidal arrangement,0.91060686
black leather boots with buckles,black leather boots with buckle details,0.9603498
a pink sunset over a calm lake,a calm lake reflecting a pink sunset,0.9468479
a checkered tablecloth in red and white,a pink and white checkered tablecloth,0.9213927
a gold coin,a single gold coin,0.9226242
a sunset over silhouette mountains,a silhouette of mountains at sunset,0.9662341
a deep blue starry night sky,a dark blue starry sky,0.9504851
a vast sandy desert landscape,a sandy desert landscape,0.9746621
a stylized sun with wavy rays,a stylized sun with rays,0.90817726
lavender fields at dawn,a lavender field at dawn,0.94803655
brick red wall texture,a red brick texture,0.9119391
lime green abstract shapes,a lime green abstract shape,0.9338449
a starry galaxy with swirling blues and purples,a starry galaxy with swirling colors,0.91998154
"a pattern of small, overlapping scales in shades of green",a green pattern of overlapping scales,0.9289222
"a pattern of small, overlapping scales in shades of green",a pattern of overlapping scales in shades of green,0.9838958
"a misty forest with tall, dark trees",a misty forest with tall pine trees,0.9010798
light blue wide-leg trousers,navy blue wide-leg trousers,0.9351885
a snowy owl on a tree branch,a snowy owl perched on a branch,0.93941426
a wool scarf with fringe,a red wool scarf with fringe,0.92696226
navy blue wide-leg trousers with a drawstring waist,navy blue wide-leg pants with a drawstring waist,0.96581745
navy blue wide-leg trousers with a drawstring waist,navy blue trousers with wide legs and a drawstring waist,0.9651563
navy blue wide-leg trousers with a drawstring waist,navy blue trousers with a drawstring waist,0.9471309
silver hexagons arranged in a honeycomb pattern,silver hexagons forming a honeycomb,0.93342745
a sunset over the ocean with silhouetted ships,a sunset over the ocean,0.91457695
a light blue button-down shirt,light blue button-down shirt,0.9780472
a light blue button-down shirt,a blue striped button-down shirt,0.9352966
a dark grey beanie hat,A gray beanie hat.,0.9506992
a pair of blue jeans,a pair of classic blue jeans,0.95792013
a pair of blue jeans,a pair of dark blue jeans,0.9659809
a pair of blue jeans,A pair of blue denim jeans.,0.9715447
a mountain range under a clear sky,a mountain range under a cloudy sky,0.90804535
a misty valley,a misty mountain valley,0.9427783
a pair of denim jeans with distressed details,a pair of distressed denim jeans,0.97280836
a bright orange backpack,An orange backpack.,0.9490653
a quiet village in winter,a quiet village covered in snow,0.9196733
overlapping transparent orange rectangles,overlapping transparent orange shapes,0.90449333
khaki pants with a brown belt,khaki shorts with a brown belt,0.91103804
concentric orange squares,concentric red and orange squares,0.92718405
interlocking grey hexagons,interlocking grey and white hexagons,0.9773664
a grey beanie with a pom-pom,a green beanie with a pom-pom,0.9317893
a grey beanie with a pom-pom,an orange beanie with a pom-pom,0.9114753
a wheat field at sunrise,a field of golden wheat at sunrise,0.9098474
a calm ocean at dawn,a calm ocean at sunrise,0.9187753
a calm ocean at dawn,a calm sea at dawn,0.92940295
intertwined bronze and silver lines,intertwined silver and bronze lines,0.99726677
burgundy silk tie with a subtle pattern,burgundy silk tie,0.90523136
abstract art with bold strokes of color,a abstract painting with bold strokes,0.901913
abstract art with bold strokes of color,abstract art with bold strokes,0.95044404
a single red poppy in a field,a single red poppy in a field of green,0.97030795
gold hexagons tessellating,a tessellation of purple and gold hexagons,0.92639935
bronze cubes stacked randomly,bronze cubes stacked irregularly,0.92200154
pink silk blouse,a dusky pink silk blouse,0.9278739
a small island in the ocean,a small island in a vast ocean,0.96056926
silver spheres in a grid,silver spheres arranged in a grid,0.9489689
a grey stone wall covered in moss,a stone wall covered in moss,0.9281658
a grey stone wall covered in moss,a grey stone wall with moss,0.97374797
navy blue tailored suit,a navy blue suit,0.90226734
a desert scene with cacti,a desert scene with cacti and red rocks,0.9094517
a peaceful lake reflecting a moonlit night,a calm lake reflecting a moonlit sky,0.9091239
a denim skirt with button details,a denim skirt with metal buttons,0.9303267
a single feather floating down,a single white feather floating down,0.93151915
a forest in autumn colors,a forest landscape in autumn colors,0.93584347
a forest in autumn colors,a deep forest in autumn colors,0.9403647
black and white checkered scarf,a black and white checkered scarf,0.9798484
green circles overlapping,green circles overlapping on a yellow background,0.9160677
a winding path through a garden,a winding path through a flower garden,0.91967595
a coral reef under clear blue water,a coral reef under clear water,0.91389835
a silver watch with a leather strap,a silver watch with a black leather band,0.9275235
crimson spheres scattered on a white plane,crimson spheres scattered on a black plane,0.92864597
overlapping translucent circles in shades of blue and green,overlapping translucent circles in shades of blue,0.96895915
a minimalist landscape with three hills,a minimalist landscape with a single hill,0.9208174
a complex knot made of thick rope,a complex knot made of rope,0.954763
a complex knot made of thick rope,a complex knot made of thick ropes,0.97813517
a complex knot made of thick rope,a complex knot made of thick lines,0.9116514
a lake at sunrise,a serene lake at sunrise,0.9028251
a network of connecting lines,a network of connected lines,0.9634265
a geometric bird,a simple geometric bird,0.9570055
a stylized sun,a stylized sun with prominent rays,0.93038154
a patchwork quilt of earthy tones,a patchwork quilt of earth tones and vibrant squares,0.9053371
a cobblestone street in the rain,a cobblestone street after rain,0.9730123
a collection of old leather bound books,a stack of old leather-bound books,0.92612016
a view of earth from space,a view of Earth from space,1.0
emerald green corduroy jacket with brass buttons,brown corduroy jacket with brass buttons,0.90958565
a flock of birds in silhouette against the sky,a flock of birds silhouetted against the sunset,0.9097626
a wooden table with a single chair,a brown wooden table with a single chair,0.92318237
a grid of varying shades of gray,a grid of differing shades of grey,0.9263066
a swirl of pastel colors,a pastel color swirl,0.95001614
silver rectangles forming a spiral,silver rectangles arranged in a spiral,0.94462925
black athletic leggings with a white stripe,black athletic leggings,0.9255158
overlapping green and yellow rectangles,overlapping blue and green rectangles,0.92378443
white button-up shirt,white button-down shirt,0.95897204
khaki chino pants,khaki chino trousers,0.96393394
cyan waves crashing on a shore,cyan waves crashing on a sandy shore,0.96720976
a calm blue ocean at sunset,a blue ocean at sunset,0.9657949
brown tweed blazer,grey tweed blazer,0.90318996
dark green corduroy skirt with large pockets,brown corduroy skirt with large pockets,0.9312751
a black leather jacket,a classic black leather jacket,0.9484458
bright yellow rain jacket,a yellow rain jacket,0.9500148
a close-up of a butterfly's wing,a close-up of a butterfly wing,0.9743612
pink floral dress,pink floral summer dress,0.91955525
pink floral dress,pink and white floral dress,0.9410986
black and white abstract lines,abstract composition of black and white lines,0.9058893
a field of green grass,a field of tall green grass,0.9332851
a pattern of diagonal stripes,a diagonal pattern of thick purple stripes,0.90448856
white canvas sneakers,white canvas shoes,0.907982
a vibrant yellow raincoat,a bright yellow raincoat,0.9729909
orange corduroy skirt with a brown belt,orange corduroy skirt,0.90027034
a bright green jungle with colorful birds,a dense jungle with colorful birds,0.93011624
grey flannel shirt with pearl buttons,grey flannel shirt with pearl snaps,0.90043247
indigo waves crashing on a shore,Indigo waves crashing on a sandy shore.,0.95456445
a blue and gold mosaic tile,a mosaic of blue and gold tiles,0.9534043
a pattern of tiny blue dots on a white background,a pattern of small blue dots,0.9182488
a pattern of tiny blue dots on a white background,a pattern of small white dots on blue,0.94757843
abstract representation of sound waves,a representation of sound waves,0.9009125
a single lit candle in the dark,a single candle burning in the dark,0.94884986
a close-up of woven threads,a close-up of woven fabric threads,0.96010864
a sunlit field of sunflowers,a field of sunflowers facing the sun,0.92859006
magenta squares in a grid,magenta squares on a grid,0.9944289
a pattern of interlocking circles,a pattern of interlocking black and white circles,0.91507345
a green velvet dress,dark green velvet dress,0.9321854
a red brick house with a white picket fence,A red brick house with a white picket fence.,0.9939453
abstract pattern of intersecting cyan lines,geometric pattern of intersecting cyan lines,0.938698
a cluster of dark purple grapes,a cluster of purple grapes,0.9736724
geometric patterns in shades of blue and green,geometric pattern in shades of blue and green,0.9802536
a red and black plaid flannel shirt,red and black plaid flannel shirt,0.9705181
a red and black plaid flannel shirt,plaid flannel shirt in red and black,0.9567493
a rustic wooden fence covered in ivy,a wooden fence covered in ivy,0.9777914
white linen pants with drawstring waist,white linen trousers with a drawstring waist,0.9529762
a pattern of interconnected red hexagons,a pattern of interconnected hexagons,0.9200103
a gradient from red to purple,A gradient from red to purple.,0.9470598
dark purple velvet cushion,a purple velvet cushion,0.9393319
a mosaic of primary colored squares,a mosaic of small colorful squares,0.90473926
a checkerboard of green and white,a checkerboard of green and black,0.9470518
a red balloon floating in the air,a red balloon floating away,0.9332431
a tall green tree with deep roots,a green tree with deep roots,0.9493432
a deep purple velvet texture,a dark purple velvet texture,0.9773299
a calm blue sky with a few white clouds,a vibrant blue sky with fluffy white clouds,0.9001411
